record_id,title,author,date,subject,lcsh,resource_type,data_sources,language,origin,link,summary,download,format,objectid,filename
NLIN1922 P1001,La Palestine Newspaper,,7/18/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/07/18/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,55fc0945-f290-4949-b1cb-bdf80a3b5287,https://www.nli.org.il/ar/newspapers/falastin/1922/07/18/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1002,La Palestine Newspaper,,7/21/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/07/21/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,c32e31b9-35b5-4e18-ab45-ceabd5dbe40a,https://www.nli.org.il/ar/newspapers/falastin/1922/07/21/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1003,La Palestine Newspaper,,7/25/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/07/25/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,810f8713-c0cc-40bd-b6c5-2ecf46a7841a,https://www.nli.org.il/ar/newspapers/falastin/1922/07/25/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1004,La Palestine Newspaper,,7/28/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/07/28/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,5f24dd97-08df-42ae-a689-c85d7ef40b79,https://www.nli.org.il/ar/newspapers/falastin/1922/07/28/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1005,La Palestine Newspaper,,8/1/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/?a=d&d=falastin19220801-01.1.1&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,136ba44c-5618-4652-84fa-9e190ce901f0,https://www.nli.org.il/ar/newspapers/?a=d&d=falastin19220801-01.1.1&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1006,La Palestine Newspaper,,8/8/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/?a=d&d=falastin19220808-01.1.1&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,076ddeaa-17b3-4354-b5e4-3ce6e5742825,https://www.nli.org.il/ar/newspapers/?a=d&d=falastin19220808-01.1.1&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1007,La Palestine Newspaper,,8/11/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/08/11/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,95542997-99e3-4e18-accf-0553e2bf3a4e,https://www.nli.org.il/ar/newspapers/falastin/1922/08/11/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1008,La Palestine Newspaper,,8/15/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/08/15/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,bc142021-6eb8-4454-9e61-eeaa4f7abf99,https://www.nli.org.il/ar/newspapers/falastin/1922/08/15/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1009,La Palestine Newspaper,,8/18/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/08/18/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,6c0f0ec4-7a21-4215-9d96-5ce80890c616,https://www.nli.org.il/ar/newspapers/falastin/1922/08/18/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1010,La Palestine Newspaper,,8/22/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/08/22/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,4277d880-e46c-4d3f-8776-4fbc930f4ae2,https://www.nli.org.il/ar/newspapers/falastin/1922/08/22/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1011,La Palestine Newspaper,,8/25/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/08/25/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,b9337ee7-6bdc-4b72-a019-fc720357059a,https://www.nli.org.il/ar/newspapers/falastin/1922/08/25/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1012,La Palestine Newspaper,,8/29/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/08/29/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,9c0f1fc9-d8bd-4e7c-a799-f99632639465,https://www.nli.org.il/ar/newspapers/falastin/1922/08/29/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1013,La Palestine Newspaper,,9/1/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/09/01/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,9214feee-982e-4159-9207-e153b103ad68,https://www.nli.org.il/ar/newspapers/falastin/1922/09/01/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1014,La Palestine Newspaper,,9/5/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/09/05/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,3038db48-d0b5-4ae9-8978-bcfc4838b47d,https://www.nli.org.il/ar/newspapers/falastin/1922/09/05/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1015,La Palestine Newspaper,,9/8/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/falastin/1922/09/08/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,ddc97880-d7c7-4083-9e5f-be3c2d9641c0,https://www.nli.org.il/ar/newspapers/falastin/1922/09/08/01/?&e=-------ar-20--1--img-txIN%7ctxTI--------------1
NLIN1922 P1016,La Palestine Newspaper,,9/12/1922 0:00,Palestine; newspaper,Palestine; Israel; Gaza Strip; Palestine--Aerial Views; Palestine--Agriculture; Palestine--Boundaries; Palestine--Church History; Palestine--Civilization; Palestine--Colonization; Palestine--Defenses; Palestine--Emigration and Immigration; Palestine--Geography; Palestine--History; Palestine in Christianity; Palestine--in Islam; Palestine--in Judaism; Palestine--maps; Palestine--Newspapers; Palestine Police; Palestine--Social Life and Customs; newspaper; newspaper advertising; newspaper ads; newspapers; ____ newspapers; press; periodicals; clippings,text,Archive,Arabic,National Library of Israel News,https://www.nli.org.il/ar/newspapers/?a=d&d=falastin19220912-01.1.1&e=-------ar-20--1--img-txIN%7ctxTI--------------1,,yes,record,cd18f9a1-d847-4b3d-b7a4-e1ff6fcc94a4,https://www.nli.org.il/ar/newspapers/?a=d&d=falastin19220912-01.1.1&e=-------ar-20--1--img-txIN%7ctxTI--------------1
